purchase_date,usd_brl_rate,selic_rate,selic_target,ipca_inflation,usd_brl_change,usd_brl_volatility,usd_brl_30day_avg,usd_brl_high,usd_brl_low,selic_changed,high_interest_period
2017-11-15,3.2821,0.028333,7.5,0.28,-0.00039593104708535165,0.012478402505921667,3.2506600000000003,0,0,0,0
2017-11-16,3.2808,0.028333,7.5,0.28,-0.0003960878705705495,0.007107008985419749,3.2541233333333333,0,0,0,0
2017-11-17,3.2788,0.028333,7.5,0.28,-0.0006096074128262297,0.004345173080532805,3.2578400000000003,0,0,0,0
2017-11-18,3.2733,0.028333,7.5,0.28,-0.0016774429669391688,0.004306104931582349,3.261176666666666,0,0,0,0
2017-11-19,3.2678000000000003,0.028333,7.5,0.28,-0.00168026150979117,0.006570569301943352,3.263993333333333,0,0,0,0
2017-11-20,3.2623,0.028333,7.5,0.28,-0.0016830895403635582,0.007992913527990248,3.2664377777777776,0,0,0,0
2017-11-21,3.2591,0.028333,7.5,0.28,-0.0009809030438647781,0.009178909573127357,3.2685866666666668,0,0,0,0
2017-11-22,3.2561,0.028333,7.5,0.28,-0.0009204995244086467,0.009671509460129341,3.270446666666667,0,0,0,0
2017-11-23,3.2371,0.028333,7.5,0.28,-0.005835201621571806,0.013582183708263005,3.2701166666666666,0,0,0,0
2017-11-24,3.23,0.028333,7.5,0.28,-0.002193321182539898,0.015892241293557118,3.2698266666666664,0,0,0,0
2017-11-25,3.2272666666666665,0.028333,7.5,0.28,-0.000846233230134219,0.016613801873675307,3.2692555555555556,0,0,0,0
2017-11-26,3.2245333333333335,0.028333,7.5,0.28,-0.0008469499473237052,0.016292394434258225,3.267403333333333,0,0,0,0
2017-11-27,3.2218,0.028333,7.5,0.28,-0.0008476678795898973,0.015177025940593813,3.2657422222222223,0,0,0,0
2017-11-28,3.2232,0.028333,7.5,0.28,0.000434539698305203,0.012028922376685484,3.26441,0,0,0,0
2017-11-29,3.2136,0.028333,7.5,0.28,-0.0029784065524943726,0.007295120497164275,3.2630400000000006,0,0,0,0
2017-11-30,3.2616,0.028333,7.5,0.28,0.014936519790888836,0.015325429294742066,3.2625299999999995,0,0,0,0
2017-12-01,3.2636,0.028333,7.5,0.44,0.0006131959774342555,0.02022248211936714,3.262196666666667,0,0,0,0
2017-12-02,3.2592666666666665,0.028333,7.5,0.44,-0.0013277770968664893,0.022069649249336677,3.261412222222222,0,0,0,0
2017-12-03,3.2549333333333332,0.028333,7.5,0.44,-0.0013295424328580996,0.0219160640269457,3.2601766666666663,0,0,0,0
2017-12-04,3.2506,0.028333,7.5,0.44,-0.0013313124692774236,0.01998498378080131,3.2588733333333333,0,0,0,0
2017-12-05,3.2322,0.028333,7.5,0.44,-0.005660493447363524,0.018453017705328662,3.2570333333333332,0,0,0,0
2017-12-06,3.2354,0.028333,7.5,0.44,0.0009900377451890208,0.012595220391834505,3.2553766666666664,0,0,0,0
2017-12-07,3.2892,0.026481,7.0,0.44,0.016628546702108116,0.019083863928281587,3.2559066666666667,0,0,1,0
2017-12-08,3.2811,0.026481,7.0,0.44,-0.0024626048887268492,0.021399622950724263,3.2569133333333338,0,0,0,0
2017-12-09,3.282233333333333,0.026481,7.0,0.44,0.00034541261568787895,0.02337953136339102,3.2579377777777774,0,0,0,0
2017-12-10,3.2833666666666668,0.026481,7.0,0.44,0.00034529334700983405,0.024625246218506043,3.258513333333333,0,0,0,0
2017-12-11,3.2845,0.026481,7.0,0.44,0.00034517416066837114,0.024684174395911185,3.258891111111111,0,0,0,0
2017-12-12,3.3149,0.026481,7.0,0.44,0.009255594458821736,0.023499065612389163,3.2600466666666668,0,0,0,0
2017-12-13,3.3036,0.026481,7.0,0.44,-0.0034088509457299576,0.012961973280408467,3.26059,0,0,0,0
